113 133 | First point = 218 248 | Total Steps until valid point = 112775
115 133 | First point = 148 13 | Total Steps until valid point = 18124
136 125 | First point = 165 206 | Total Steps until valid point = 12163
113 134 | First point = 248 179 | Total Steps until valid point = 49743
107 133 | First point = 100 130 | Total Steps until valid point = 57
111 127 | First point = 42 206 | Total Steps until valid point = 163507
110 134 | First point = 219 164 | Total Steps until valid point = 39426
106 132 | First point = 56 220 | Total Steps until valid point = 8213
108 134 | First point = 165 21 | Total Steps until valid point = 70395
119 134 | First point = 34 42 | Total Steps until valid point = 22364
109 129 | First point = 128 57 | Total Steps until valid point = 58450
123 133 | First point = 6 175 | Total Steps until valid point = 19844
119 124 | First point = 112 124 | Total Steps until valid point = 26
107 134 | First point = 13 55 | Total Steps until valid point = 86164
120 118 | First point = 103 187 | Total Steps until valid point = 19025
117 116 | First point = 79 60 | Total Steps until valid point = 43935
108 129 | First point = 49 94 | Total Steps until valid point = 2261
107 135 | First point = 110 207 | Total Steps until valid point = 10144
123 113 | First point = 69 121 | Total Steps until valid point = 156779
123 134 | First point = 93 180 | Total Steps until valid point = 13987
132 123 | First point = 143 67 | Total Steps until valid point = 115458
117 117 | First point = 106 44 | Total Steps until valid point = 43945
105 132 | First point = 172 143 | Total Steps until valid point = 24097
136 127 | First point = 55 85 | Total Steps until valid point = 101142
108 135 | First point = 147 47 | Total Steps until valid point = 89274
106 135 | First point = 138 180 | Total Steps until valid point = 8878
106 134 | First point = 180 197 | Total Steps until valid point = 21576
119 117 | First point = 167 107 | Total Steps until valid point = 69475
114 128 | First point = 116 244 | Total Steps until valid point = 58801
114 130 | First point = 143 233 | Total Steps until valid point = 37855
128 116 | First point = 98 173 | Total Steps until valid point = 56120
122 134 | First point = 100 158 | Total Steps until valid point = 10875
136 123 | First point = 66 137 | Total Steps until valid point = 45153
121 112 | First point = 26 242 | Total Steps until valid point = 7732
126 115 | First point = 167 25 | Total Steps until valid point = 51378
106 133 | First point = 85 206 | Total Steps until valid point = 48789
121 133 | First point = 156 190 | Total Steps until valid point = 3219
107 129 | First point = 71 98 | Total Steps until valid point = 28364
136 126 | First point = 56 201 | Total Steps until valid point = 28056
118 115 | First point = 50 63 | Total Steps until valid point = 25189
107 128 | First point = 78 6 | Total Steps until valid point = 41378
123 131 | First point = 173 74 | Total Steps until valid point = 91600
125 113 | First point = 39 223 | Total Steps until valid point = 211929
136 128 | First point = 131 15 | Total Steps until valid point = 19351
105 133 | First point = 227 92 | Total Steps until valid point = 135996
118 133 | First point = 168 185 | Total Steps until valid point = 5287
127 115 | First point = 176 227 | Total Steps until valid point = 29500
129 116 | First point = 227 8 | Total Steps until valid point = 50517
120 112 | First point = 166 95 | Total Steps until valid point = 4648
124 133 | First point = 217 53 | Total Steps until valid point = 131248
120 111 | First point = 214 143 | Total Steps until valid point = 82255
131 127 | First point = 124 24 | Total Steps until valid point = 108029
127 114 | First point = 212 209 | Total Steps until valid point = 187193
137 128 | First point = 90 182 | Total Steps until valid point = 7264
117 115 | First point = 165 227 | Total Steps until valid point = 307969
119 112 | First point = 148 244 | Total Steps until valid point = 156744
119 111 | First point = 172 37 | Total Steps until valid point = 124160
105 131 | First point = 55 165 | Total Steps until valid point = 10043
106 128 | First point = 99 124 | Total Steps until valid point = 52
124 113 | First point = 171 43 | Total Steps until valid point = 98484
106 136 | First point = 211 124 | Total Steps until valid point = 58240
126 114 | First point = 191 165 | Total Steps until valid point = 5715
138 128 | First point = 173 141 | Total Steps until valid point = 42757
125 112 | First point = 61 134 | Total Steps until valid point = 91397
124 132 | First point = 74 50 | Total Steps until valid point = 135517
106 127 | First point = 39 58 | Total Steps until valid point = 16927
130 116 | First point = 45 106 | Total Steps until valid point = 58834
106 137 | First point = 26 244 | Total Steps until valid point = 70986
112 134 | First point = 149 156 | Total Steps until valid point = 3336
120 132 | First point = 206 221 | Total Steps until valid point = 34826
109 135 | First point = 161 16 | Total Steps until valid point = 68824
110 135 | First point = 96 29 | Total Steps until valid point = 20509
127 113 | First point = 147 103 | Total Steps until valid point = 4679
136 124 | First point = 237 87 | Total Steps until valid point = 7581
132 128 | First point = 81 146 | Total Steps until valid point = 109666
104 133 | First point = 97 191 | Total Steps until valid point = 3978
106 126 | First point = 109 107 | Total Steps until valid point = 291
112 128 | First point = 239 241 | Total Steps until valid point = 92513
105 137 | First point = 237 135 | Total Steps until valid point = 29149
104 134 | First point = 232 24 | Total Steps until valid point = 34855
104 131 | First point = 238 195 | Total Steps until valid point = 44507
